Date,Close,Dividends,High,Low,Open,Stock Splits,Volume\n
2019-07-03,14.3913459778,0,14.3913459778,14.0650941155,14.282595357,0,10343200\n
2019-07-05,14.3188438416,0,14.3732187133,13.7932154722,14.0469668902,0,15577600\n
2019-07-08,14.3732194901,0,14.4638454335,14.1829057002,14.3822822573,0,11664400\n
2019-07-09,14.5454063416,0,14.5997829395,14.2191545323,14.2644674997,0,11957400\n
2019-07-10,14.9713516235,0,15.0076009697,14.5544729065,14.7447875919,0,18622700\n
2019-07-11,14.8535346985,0,15.1163497578,14.7900970576,14.9260351065,0,15834300\n
2019-07-12,14.9622859955,0,15.0075981017,14.762910308,14.9260349277,0,11436800\n
2019-07-15,14.8082199097,0,15.1163470199,14.7085312185,15.0166583288,0,11321700\n
2019-07-16,14.5997829437,0,14.862596253,14.4547812753,14.6813461121,0,11751400\n
2019-07-17,15.1435346603,0,15.1797857246,14.6360318604,14.6904067283,0,17923800\n
2019-07-18,15.6057252884,0,15.7326022842,14.9350961594,15.0891597247,0,23548300\n
2019-07-19,15.596663475,0,15.8413529871,15.4335388622,15.4697882,0,24499300\n
2019-07-22,15.7144784927,0,15.7688533664,15.4969772697,15.5694776773,0,14146800\n
2019-07-23,15.6691646576,0,15.8322892605,15.460724496,15.5422876617,0,15282600\n
2019-07-24,15.7235412598,0,15.8594793081,15.6691663861,15.7688533664,0,11156600\n
2019-07-25,15.4426012039,0,15.7597893828,15.3157242038,15.6691651765,0,15720300\n
2019-07-26,15.460726738,0,15.6057275584,15.3972890951,15.4697895053,0,11356000\n
2019-07-29,15.596663475,0,15.6057262416,15.3791622628,15.5513513707,0,12651900\n
2019-07-30,15.4154157639,0,15.68729189,15.3882274598,15.6147914745,0,14595200\n
2019-07-31,14.7357215881,0,15.4426018338,14.463844637,15.406350767,0,33657800\n
2019-08-01,15.3610372543,0,15.4969752853,14.346029948,14.3641554798,0,24866200\n
